d_purpose,dice_odds,chamber_purpose
Stronghold,96,Waiting room where lesser guests are held before receiving an audience 
Stronghold,98,Latrine or bath
Stronghold,100,Crypt belonging to the stronghold's master or someone else of importance
Temple,3,"Armory filled with weapons and armor, battle banners, and pennants"
Temple,5,Audience chamber where priests of the temple recei ve commoners and low-ranking visitors
Temple,7,Banquet room used for celebrations and holy days
Temple,10,Barracks for the temple's military arm or its hired guards
Temple,14,Cells where the faithful can sit in quiet contemplation 
Temple,24,Central temple built to accommodate rituals
Temple,28,Chapel dedicated to a lesser deity associated with the temple's major deity
Temple,31,Classroom used to train initiates and priests
Temple,34,"Conjuring room , specially sanctified and used to summon extraplanar creatures"
Temple,40,"Crypt for a high priest or similar figure, hidden and heavily guarded by creatures and traps"
Temple,42,Dining room for the temple's servants and lesser priests
Temple,43,Dining room for the temple's high priests
Temple,46,"Divination room , inscribed with runes and stocked with soothsaying implements "
Temple,50,Dormitory for lesser priests or students
Temple,56,Guardroom
Temple,57,Kennel for animals or monsters associated with the temple's deity 
Temple,60,Kitchen (might bear a disturbing resemblance to a torture chamber in an evil temple) 
Temple,65,"Library, well stocked with religious treatises"
Temple,68,Prison for captured enemies (in good or neutral temples) or those designated as sacrifices (in evil temples)
Temple,73,Robing room containing ceremonial outfits and items
Temple,74,"Stable for riding horses and mounts belonging to the temple, or for visiting messengers and caravans "
Temple,79,Storage holding mundane supplies
Temple,80,"Strong room or vault holding important relics and ceremonial items, heavily trapped "
Temple,82,"Torture chamber, used in inquisitions (in good or neutral temples with a lawful bent) or for the sheer joy of causing pain (evil temples) "
Temple,89,Trophy room where art celebrating key figures and events from mythology is displayed 
Temple,90,Latrine or bath 
Temple,94,"Well for drinking water, defendable in the case of attack or siege"
Temple,100,"Workshop for repairing or creating weapons, religious items, and tools"
Tomb,1,Antechamber for those that have come to pay respect to the dead or prepare themselves for burial rituals
Tomb,3,Chapel dedicated to deities that watch over the dead and protect their resting places
Tomb,8,Crypt for less important burials
Tomb,9,"Divination room, used in rituals to contact the dead for guidance "
Tomb,10,False crypt (trapped) to kill or capture thieves
Tomb,11,"Gallery to display the deeds of the deceased through trophies, statues, paintings and so forth"
Tomb,12,"Grand crypt for a noble, high priest, or other important individual"
Tomb,14,"Guardroom, usually guarded by undead, constructs, or other creatures that don't need to eat or sleep"
Tomb,15,Robing room for priests to prepare for burial rituals
Tomb,17,"Storage, stocked with tools for maintaining the tomb and preparing the dead for burial "
Tomb,18,"Tomb where the wealthiest and most important folk are interred , protected by secret doors and traps "
Tomb,20,Workshop for embalming the dead
Treasure Vault,1,Antechamber for visiting dignitaries
Treasure Vault,2,Armory contain ing mundane and magic gear used by the treasure vault's guards
Treasure Vault,4,Barracks for guards 
Treasure Vault,5,Cistern providing fresh water
Treasure Vault,9,Guardroom to defend against intruders
Treasure Vault,10,Kennel for trained beasts used to guard the treasure vault
Treasure Vault,11,Kitchen for feeding guards
Treasure Vault,12,Watch room that allows guards to observe those who approach the dungeon
Treasure Vault,13,Prison for holding captured intruders 
Treasure Vault,15,"Strong room or vault, for guarding the treasure hidden in the dungeon, accessible only by locked or secret door"
Treasure Vault,16,Torture chamber for extracting information from captured intruders
Treasure Vault,20,Trap or other trick designed to kill or capture creatures that enter the dungeor 
